20250612 120800;6047.25;6048;6047.25;6047.25;37
20250612 120900;6047.5;6047.5;6047;6047.25;11
20250612 121000;6047.5;6048.25;6047;6048;13
20250612 121100;6048.25;6048.5;6047.25;6048;24
20250612 121200;6048.25;6050;6048.25;6049.25;39
20250612 121300;6049;6049.25;6048.5;6049.25;19
20250612 121400;6049.25;6051.75;6049.25;6050.25;44
20250612 121500;6050.75;6051.25;6050.5;6050.75;20
20250612 121600;6050.25;6050.25;6049.5;6050;15
20250612 121700;6049.5;6050;6049;6049;24
20250612 121800;6049;6049.75;6048.75;6049;25
20250612 121900;6049.25;6049.75;6048.75;6049.5;10
20250612 122000;6049.5;6050.75;6049.5;6050;11
20250612 122100;6050.25;6050.25;6048.25;6048.5;22
20250612 122200;6048.25;6050;6048.25;6050;13
20250612 122300;6050.25;6050.25;6049.25;6049.25;19
20250612 122400;6050;6050;6049;6049.5;10
20250612 122500;6049;6050;6049;6049.75;29
20250612 122600;6049.25;6050;6048.75;6049.75;13
20250612 122700;6049;6049;6047.5;6047.75;36
20250612 122800;6048;6048;6046.75;6046.75;24
20250612 122900;6047;6047.75;6047;6047.75;2
20250612 123000;6048;6048.75;6047.75;6048.75;12
20250612 123100;6049.5;6056.25;6041.25;6050.25;261
20250612 123200;6050.25;6053;6049.25;6050.5;88
20250612 123300;6050.25;6056.25;6050;6055.25;142
20250612 123400;6055.5;6055.5;6052.5;6053.25;32
20250612 123500;6053.5;6056.5;6053.25;6055;69
20250612 123600;6055.25;6058;6055.25;6056;127
20250612 123700;6056;6061;6055.75;6060.75;80
20250612 123800;6060.75;6061.75;6058.75;6060.5;87
20250612 123900;6060;6063;6059;6060.25;57
20250612 124000;6060.25;6063;6060.25;6062.5;28
20250612 124100;6062.75;6064.25;6061.75;6061.75;64
20250612 124200;6061.75;6065;6061.75;6064.5;50
20250612 124300;6065;6065.5;6062.75;6063.75;41
20250612 124400;6063;6064;6062.75;6064;42
20250612 124500;6063.75;6065;6063.25;6065;38
20250612 124600;6065.5;6066.25;6064.5;6066.25;39
20250612 124700;6065.25;6065.5;6062.5;6063.25;56
20250612 124800;6063;6065.5;6063;6064.5;35
20250612 124900;6064.75;6067.25;6064.75;6065.5;50
20250612 125000;6065;6065;6064.25;6064.25;20
20250612 125100;6064.5;6064.75;6063;6063.25;25
20250612 125200;6063.25;6064;6062.25;6062.75;33
